Tweet,Date,User,Location,Source
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:26:11+00:00,hibiscus_honey,,Twitter for iPhone
"RT @NHSEngland: 'I am proud to say I am vaccinated.'
 
15-year-olds Luana and Melissa had their COVID-19 vaccine. The vaccine is the best w…",2021-11-21 17:26:28+00:00,chersvacca,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:27:03+00:00,Charlie85915085,,Twitter for Android
Pauvre con 🤣🤣🤣🤣,2021-11-21 17:27:06+00:00,Radiologie17,République du Bénin,Twitter for Android
"RT @circleofmamas: @GavinNewsom @POTUS @JenSiebelNewsom Another teen injured by the #covidvaccine you want to mandate for children. 

https…",2021-11-21 17:27:23+00:00,PFM_Louisiana,"Louisiana, USA",Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:27:40+00:00,forevercanada9,,Twitter Web App
"RT @DrJohnB2: A 19-year-old man
- 1 day after getting the 2nd dose of the #Covidvaccine (Pfizer-BioNTech): influenza-like illness with head…",2021-11-21 17:27:42+00:00,NormaSco19,,Twitter Web App
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:27:43+00:00,waters_eugenie,,Twitter for iPhone
RT @DrTessaT: Another neurologic ‘coincidence’...,2021-11-21 17:27:52+00:00,Lady_pR17,Puerto Rico,Twitter for iPhone
RT @susananderton5: #NewWorldOrder #greatreset #COVID19 #CovidVaccine #WakeUp https://t.co/NSlLLxvYB7,2021-11-21 17:28:01+00:00,LawlessNik,,Twitter for Android
RT @AliEhsassi: Great news! Let's get vaccinated #Willowdale!,2021-11-21 17:29:15+00:00,WillowdalePLA,"Willowdale, Ontario",Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:29:19+00:00,aldobar64,"Markham, ON",Twitter for iPhone
"@LouisianaGov @FirstLadyOfLA #lalege #lagov @LADeptHealth @JoeKanter 

@theadvocatebr @MelindaDeslatte… https://t.co/p2fekTdaX3",2021-11-21 17:29:24+00:00,PFM_Louisiana,"Louisiana, USA",Twitter for iPhone
"RT @Sussex_HCP: Vaccines save lives. The best way you can keep you, your baby and your loved ones safe and out of hospital, is by coming fo…",2021-11-21 17:29:29+00:00,SheilaDoughty,Sussex,Twitter for Android
"RT @brittonMgmt: For years, we have been offering immunization verification for global fortune 500 organizations. Contact us to learn more:…",2021-11-21 17:30:05+00:00,brittonMgmt,Ontario,SocialBee.io v2
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:30:20+00:00,IrrelephantC,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:31:20+00:00,MaggieDBar,"Barrie, Ontario",Twitter for Android
"RT @nilikm: Good morning from primary care. Sent an email to @OttawaHealth to ask that we receive #CovidVaccine in office by Friday, also,…",2021-11-21 17:31:23+00:00,_Azin_,Ottawa,Twitter for iPhone
#COVIDIOTS #CovidVaccine #NoVaccinePassports #NoVaccineMandates #BigPharmaCartel,2021-11-21 17:31:41+00:00,CaterinaMcElwa2,,Twitter for iPhone
RT @nilikm: One more time for @fordnation and those at the back: OUR PATIENTS WANT THEIR KIDS TO GET #CovidVaccine FROM THEIR PRIMARY CARE…,2021-11-21 17:32:01+00:00,StrikeFord,"Toronto, Ontario",Twitter for Android
