,sentiment,city,country,region,Unnamed: 0
0,positive,Riyadh,Saudi Arabia,Gulf,
1,neutral,Riyadh,Saudi Arabia,Gulf,
2,neutral,Salt,Jordan,Levant,
3,positive,Aleppo,Syria,Levant,
4,negative,Salt,Jordan,Levant,
5,positive,Aleppo,Syria,Levant,
6,negative,Salt,Jordan,Levant,
7,negative,Salt,Saudi Arabia,Gulf,
8,neutral,Riyadh,Saudi Arabia,Gulf,
9,neutral,Riyadh,Saudi Arabia,Gulf,
10,neutral,Riyadh,Saudi Arabia,Gulf,
11,positive,Aleppo,Syria,Levant,
12,negative,Salt,Jordan,Levant,
13,positive,Aleppo,Syria,Levant,
14,positive,Aleppo,Syria,Levant,
15,positive,Aleppo,Syria,Levant,
16,positive,Aleppo,Syria,Levant,
17,neutral,Riyadh,Saudi Arabia,Gulf,
18,positive,Aleppo,Syria,Levant,
19,neutral,Riyadh,Saudi Arabia,Gulf,
20,neutral,Riyadh,Saudi Arabia,Gulf,
21,neutral,Riyadh,Saudi Arabia,Gulf,
22,positive,Aleppo,Syria,Levant,
23,neutral,Riyadh,Saudi Arabia,Gulf,
24,neutral,Riyadh,Saudi Arabia,Gulf,
25,negative,Salt,Jordan,Levant,
26,positive,Aleppo,Syria,Levant,
27,positive,Aleppo,Syria,Levant,
28,negative,Riyadh,Saudi Arabia,Gulf,
29,positive,Aleppo,Syria,Levant,
30,positive,Aleppo,Syria,Levant,
31,positive,Aleppo,Syria,Levant,
32,neutral,Riyadh,Saudi Arabia,Gulf,
33,positive,Aleppo,Syria,Levant,
34,positive,Aleppo,Syria,Levant,
35,positive,Aleppo,Syria,Levant,
36,neutral,Riyadh,Saudi Arabia,Gulf,
37,negative,Riyadh,Saudi Arabia,Gulf,
38,neutral,Riyadh,Saudi Arabia,Gulf,
39,neutral,Riyadh,Saudi Arabia,Gulf,
40,neutral,Riyadh,Saudi Arabia,Gulf,
41,neutral,Riyadh,Saudi Arabia,Gulf,
42,positive,Aleppo,Syria,Levant,
43,negative,Salt,Jordan,Levant,
44,neutral,Riyadh,Saudi Arabia,Gulf,
45,positive,Aleppo,Syria,Levant,
46,neutral,Riyadh,Saudi Arabia,Gulf,
47,neutral,Riyadh,Saudi Arabia,Gulf,
48,positive,Aleppo,Syria,Levant,
49,negative,Riyadh,Saudi Arabia,Gulf,
50,neutral,Riyadh,Saudi Arabia,Gulf,
51,negative,Riyadh,Saudi Arabia,Gulf,
52,neutral,Riyadh,Saudi Arabia,Gulf,
53,negative,Riyadh,Saudi Arabia,Gulf,
54,neutral,Riyadh,Saudi Arabia,Gulf,
55,neutral,Riyadh,Saudi Arabia,Gulf,
56,neutral,Riyadh,Saudi Arabia,Gulf,
57,negative,Salt,Jordan,Levant,
58,neutral,Riyadh,Saudi Arabia,Gulf,
59,neutral,Riyadh,Saudi Arabia,Gulf,
60,neutral,Riyadh,Saudi Arabia,Gulf,
61,neutral,Jeddha,Saudi Arabia,Gulf,
62,neutral,Riyadh,Saudi Arabia,Gulf,
63,neutral,Riyadh,Saudi Arabia,Gulf,
64,neutral,Salt,Saudi Arabia,Gulf,
65,negative,Salt,Jordan,Levant,
66,neutral,Riyadh,Saudi Arabia,Gulf,
67,neutral,Riyadh,Saudi Arabia,Gulf,
68,negative,Salt,Jordan,Levant,
69,neutral,Riyadh,Saudi Arabia,Gulf,
70,neutral,Riyadh,Saudi Arabia,Gulf,
71,neutral,Riyadh,Saudi Arabia,Gulf,
72,neutral,Riyadh,Saudi Arabia,Gulf,
73,neutral,Riyadh,Saudi Arabia,Gulf,
74,negative,Salt,Jordan,Levant,
75,neutral,Riyadh,Saudi Arabia,Gulf,
76,negative,Riyadh,Saudi Arabia,Gulf,
77,negative,Riyadh,Saudi Arabia,Gulf,
78,neutral,Riyadh,Saudi Arabia,Gulf,
79,negative,Riyadh,Saudi Arabia,Gulf,
80,negative,Salt,Jordan,Levant,
81,neutral,Riyadh,Saudi Arabia,Gulf,
82,neutral,Riyadh,Saudi Arabia,Gulf,
83,neutral,Riyadh,Saudi Arabia,Gulf,
84,neutral,Aleppo,Syria,Levant,
85,negative,Salt,Jordan,Levant,
86,neutral,Riyadh,Saudi Arabia,Gulf,
87,neutral,Aleppo,Syria,Levant,
88,neutral,Riyadh,Saudi Arabia,Gulf,
89,negative,Salt,Saudi Arabia,Gulf,
90,neutral,Riyadh,Saudi Arabia,Gulf,
91,negative,Riyadh,Saudi Arabia,Gulf,
92,neutral,Riyadh,Saudi Arabia,Gulf,
93,negative,Salt,Jordan,Levant,
94,neutral,Riyadh,Saudi Arabia,Gulf,
95,neutral,Salt,Jordan,Levant,
96,negative,Salt,Jordan,Levant,
97,negative,Salt,Jordan,Levant,
98,neutral,Riyadh,Saudi Arabia,Gulf,
99,negative,Salt,Jordan,Levant,
100,negative,Salt,Saudi Arabia,Gulf,
101,positive,Aleppo,Syria,Levant,
102,negative,Salt,Saudi Arabia,Gulf,
103,positive,Aleppo,Syria,Levant,
104,positive,Aleppo,Syria,Levant,
105,positive,Aleppo,Syria,Levant,
106,neutral,Riyadh,Saudi Arabia,Gulf,
107,negative,Riyadh,Saudi Arabia,Gulf,
108,negative,Salt,Jordan,Levant,
109,neutral,Riyadh,Saudi Arabia,Gulf,
110,neutral,Riyadh,Saudi Arabia,Gulf,
111,negative,Salt,Jordan,Levant,
112,neutral,Riyadh,Saudi Arabia,Gulf,
113,neutral,Aleppo,Syria,Levant,
114,positive,Aleppo,Syria,Levant,
115,neutral,Riyadh,Saudi Arabia,Gulf,
116,negative,Salt,Jordan,Levant,
117,neutral,Riyadh,Saudi Arabia,Gulf,
118,neutral,Riyadh,Saudi Arabia,Gulf,
119,neutral,Riyadh,Saudi Arabia,Gulf,
120,negative,Salt,Jordan,Levant,
121,neutral,Riyadh,Saudi Arabia,Gulf,
122,negative,Riyadh,Saudi Arabia,Gulf,
123,negative,Salt,Jordan,Levant,
124,neutral,Riyadh,Saudi Arabia,Gulf,
125,positive,Aleppo,Syria,Levant,
126,positive,Aleppo,Syria,Levant,
127,negative,Riyadh,Saudi Arabia,Gulf,
128,positive,Aleppo,Syria,Levant,
129,positive,Riyadh,Saudi Arabia,Gulf,
130,negative,Salt,Jordan,Levant,
131,neutral,Riyadh,Saudi Arabia,Gulf,
132,neutral,Riyadh,Saudi Arabia,Gulf,
133,neutral,Jeddha,Saudi Arabia,Levant,
134,neutral,Riyadh,Saudi Arabia,Gulf,
135,neutral,Riyadh,Saudi Arabia,Gulf,
136,negative,Salt,Jordan,Levant,
137,negative,Salt,Jordan,Levant,
138,negative,Aleppo,Syria,Levant,
139,neutral,Riyadh,Saudi Arabia,Gulf,
140,neutral,Riyadh,Saudi Arabia,Gulf,
141,neutral,Aleppo,Syria,Levant,
142,positive,Riyadh,Saudi Arabia,Gulf,
143,neutral,Riyadh,Saudi Arabia,Gulf,
144,neutral,Riyadh,Saudi Arabia,Gulf,
145,neutral,Aleppo,Syria,Levant,
146,neutral,Aleppo,Syria,Levant,
147,neutral,Aleppo,Syria,Levant,
148,neutral,Riyadh,Saudi Arabia,Gulf,
149,neutral,Riyadh,Saudi Arabia,Gulf,
150,neutral,Riyadh,Saudi Arabia,Gulf,
151,negative,Salt,Jordan,Levant,
152,neutral,Aleppo,Syria,Levant,
153,negative,Salt,Jordan,Levant,
154,neutral,Riyadh,Saudi Arabia,Gulf,
155,neutral,Riyadh,Saudi Arabia,Gulf,
156,positive,Jeddha,Saudi Arabia,Gulf,
157,neutral,Riyadh,Saudi Arabia,Gulf,
158,neutral,Riyadh,Saudi Arabia,Gulf,
159,neutral,Riyadh,Saudi Arabia,Gulf,
160,neutral,Riyadh,Saudi Arabia,Gulf,
161,neutral,Riyadh,Saudi Arabia,Gulf,
162,negative,Salt,Jordan,Levant,
163,negative,Riyadh,Saudi Arabia,Gulf,
164,neutral,Aleppo,Syria,Levant,
165,neutral,Riyadh,Saudi Arabia,Gulf,
166,neutral,Jeddha,Saudi Arabia,Gulf,
167,neutral,Riyadh,Saudi Arabia,Gulf,
168,neutral,Riyadh,Saudi Arabia,Gulf,
169,neutral,Aleppo,Syria,Levant,
170,negative,Salt,Jordan,Levant,
171,neutral,Aleppo,Syria,Levant,
172,neutral,Riyadh,Saudi Arabia,Gulf,
173,negative,Riyadh,Saudi Arabia,Gulf,
174,neutral,Riyadh,Saudi Arabia,Gulf,
175,neutral,Aleppo,Syria,Levant,
176,neutral,Aleppo,Syria,Levant,
177,neutral,Aleppo,Syria,Levant,
178,positive,Aleppo,Syria,Levant,
179,neutral,Riyadh,Saudi Arabia,Gulf,
180,neutral,Riyadh,Saudi Arabia,Gulf,
181,neutral,Riyadh,Saudi Arabia,Gulf,
182,negative,Salt,Jordan,Levant,
183,neutral,Riyadh,Saudi Arabia,Gulf,
184,neutral,Aleppo,Syria,Levant,
185,neutral,Riyadh,Saudi Arabia,Gulf,
186,neutral,Riyadh,Saudi Arabia,Gulf,
187,negative,Salt,Jordan,Levant,
188,neutral,Riyadh,Saudi Arabia,Gulf,
189,neutral,Riyadh,Saudi Arabia,Gulf,
190,neutral,Riyadh,Saudi Arabia,Gulf,
191,neutral,Aleppo,Syria,Levant,
192,neutral,Riyadh,Saudi Arabia,Gulf,
193,neutral,Riyadh,Saudi Arabia,Gulf,
194,neutral,Aleppo,Syria,Levant,
195,neutral,Riyadh,Saudi Arabia,Gulf,
196,neutral,Aleppo,Syria,Levant,
197,neutral,Riyadh,Saudi Arabia,Gulf,
198,neutral,Riyadh,Saudi Arabia,Gulf,
199,neutral,Aleppo,Syria,Levant,
200,neutral,Aleppo,Syria,Levant,
201,negative,Salt,Jordan,Levant,
202,neutral,Aleppo,Syria,Levant,
203,neutral,Riyadh,Saudi Arabia,Gulf,
204,neutral,Riyadh,Saudi Arabia,Gulf,
205,neutral,Riyadh,Saudi Arabia,Gulf,
206,positive,Aleppo,Syria,Levant,
207,neutral,Riyadh,Saudi Arabia,Gulf,
208,neutral,Riyadh,Saudi Arabia,Gulf,
209,neutral,Riyadh,Saudi Arabia,Gulf,
210,negative,Salt,Saudi Arabia,Gulf,
211,neutral,Riyadh,Saudi Arabia,Gulf,
212,neutral,Riyadh,Saudi Arabia,Gulf,
213,negative,Salt,Jordan,Levant,
214,positive,Aleppo,Syria,Levant,
215,neutral,Jeddha,Saudi Arabia,Gulf,
216,neutral,Riyadh,Saudi Arabia,Gulf,
217,neutral,Aleppo,Syria,Levant,
218,neutral,Aleppo,Syria,Levant,
219,neutral,Riyadh,Saudi Arabia,Gulf,
220,neutral,Riyadh,Saudi Arabia,Gulf,
221,negative,Riyadh,Saudi Arabia,Gulf,
222,negative,Riyadh,Saudi Arabia,Gulf,
223,neutral,Riyadh,Saudi Arabia,Gulf,
224,neutral,Riyadh,Saudi Arabia,Gulf,
225,neutral,Riyadh,Saudi Arabia,Gulf,
226,neutral,Riyadh,Saudi Arabia,Gulf,
227,neutral,Salt,Jordan,Levant,
228,neutral,Riyadh,Saudi Arabia,Gulf,
229,neutral,Riyadh,Saudi Arabia,Gulf,
230,positive,Aleppo,Syria,Levant,
231,positive,Riyadh,Saudi Arabia,Gulf,
232,neutral,Salt,Jordan,Levant,
233,negative,Salt,Jordan,Levant,
234,neutral,Salt,Jordan,Levant,
235,negative,Jeddha,Saudi Arabia,Gulf,
236,neutral,Salt,Jordan,Levant,
237,positive,Aleppo,Syria,Levant,
238,negative,Salt,Jordan,Levant,
239,neutral,Salt,Jordan,Levant,
240,neutral,Jeddha,Saudi Arabia,Gulf,
241,neutral,Khartoum,Sudan,Nile Basin,
242,neutral,Jeddha,Saudi Arabia,Gulf,
243,neutral,Salt,Jordan,Levant,
244,neutral,Salt,Saudi Arabia,Gulf,
245,neutral,Salt,Jordan,Levant,
246,neutral,Salt,Jordan,Levant,
247,neutral,Jeddha,Saudi Arabia,Gulf,
248,negative,Riyadh,Saudi Arabia,Gulf,
249,negative,Salt,Jordan,Levant,
250,neutral,Salt,Jordan,Levant,
251,neutral,Khartoum,Sudan,Nile Basin,
252,neutral,Riyadh,Saudi Arabia,Gulf,
253,neutral,Khartoum,Sudan,Nile Basin,
254,neutral,Salt,Jordan,Levant,
255,negative,Jeddha,Saudi Arabia,Gulf,
256,negative,Riyadh,Saudi Arabia,Gulf,
257,neutral,Riyadh,Saudi Arabia,Gulf,
258,positive,Jeddha,Saudi Arabia,Gulf,
259,neutral,Riyadh,Saudi Arabia,Gulf,
260,neutral,Jeddha,Saudi Arabia,Gulf,
261,neutral,Salt,Jordan,Levant,
262,neutral,Riyadh,Saudi Arabia,Gulf,
263,negative,Salt,Saudi Arabia,Gulf,
264,negative,Riyadh,Saudi Arabia,Gulf,
265,neutral,Salt,Jordan,Levant,
266,neutral,Jeddha,Saudi Arabia,Gulf,
267,negative,Salt,Jordan,Levant,
268,neutral,Salt,Jordan,Levant,
269,negative,Salt,Jordan,Levant,
270,neutral,Salt,Jordan,Levant,
271,neutral,Jeddha,Saudi Arabia,Gulf,
272,neutral,Riyadh,Saudi Arabia,Gulf,
273,negative,Riyadh,Saudi Arabia,Gulf,
274,neutral,Riyadh,Saudi Arabia,Gulf,
275,neutral,Riyadh,Saudi Arabia,Gulf,
276,neutral,Salt,Jordan,Levant,
277,neutral,Riyadh,Saudi Arabia,Gulf,
278,neutral,Riyadh,Saudi Arabia,Gulf,
279,positive,Riyadh,Saudi Arabia,Gulf,
280,positive,Riyadh,Saudi Arabia,Gulf,
281,neutral,Riyadh,Saudi Arabia,Gulf,
282,positive,Riyadh,Saudi Arabia,Gulf,
283,negative,Riyadh,Saudi Arabia,Gulf,
284,negative,Salt,Jordan,Levant,
285,positive,Riyadh,Saudi Arabia,Gulf,
286,positive,Riyadh,Saudi Arabia,Gulf,
287,negative,Riyadh,Saudi Arabia,Gulf,
288,negative,Riyadh,Saudi Arabia,Gulf,
