,sentiment,city,country,region
0,negative,Salt,Jordan,Levant
1,neutral,Amman,Syria,Levant
2,negative,Riyadh,Saudi Arabia,Gulf
3,neutral,Riyadh,Saudi Arabia,Gulf
4,negative,Salt,Jordan,Levant
5,positive,Riyadh,Saudi Arabia,Gulf
6,positive,Riyadh,Saudi Arabia,Gulf
7,negative,Salt,Jordan,Levant
8,negative,Jeddha,Saudi Arabia,Gulf
9,positive,Riyadh,Saudi Arabia,Gulf
10,neutral,Riyadh,Saudi Arabia,Gulf
11,neutral,Rabat,Morocco,Maghreb
12,negative,Khartoum,Sudan,Nile Basin
13,positive,Salt,Jordan,Levant
14,negative,Riyadh,Saudi Arabia,Gulf
15,negative,Riyadh,Saudi Arabia,Gulf
16,neutral,Riyadh,Saudi Arabia,Gulf
17,positive,Jeddha,Saudi Arabia,Levant
18,negative,Salt,Jordan,Levant
19,neutral,Riyadh,Saudi Arabia,Gulf
20,positive,Riyadh,Saudi Arabia,Gulf
21,neutral,Riyadh,Saudi Arabia,Gulf
22,neutral,Salt,Jordan,Levant
23,positive,Salt,Jordan,Levant
24,positive,Salt,Jordan,Levant
25,neutral,Riyadh,Saudi Arabia,Gulf
26,negative,Riyadh,Saudi Arabia,Gulf
27,negative,Riyadh,Saudi Arabia,Gulf
28,negative,Riyadh,Saudi Arabia,Gulf
29,neutral,Riyadh,Saudi Arabia,Gulf
30,negative,Jeddha,Saudi Arabia,Gulf
31,negative,Riyadh,Saudi Arabia,Gulf
32,positive,Riyadh,Saudi Arabia,Gulf
33,negative,Salt,Jordan,Levant
34,negative,Salt,Jordan,Levant
35,neutral,Riyadh,Saudi Arabia,Gulf
36,negative,Riyadh,Saudi Arabia,Gulf
37,negative,Salt,Jordan,Levant
38,negative,Riyadh,Saudi Arabia,Gulf
39,neutral,Riyadh,Saudi Arabia,Gulf
40,neutral,Riyadh,Saudi Arabia,Gulf
41,neutral,Salt,Jordan,Levant
42,negative,Riyadh,Saudi Arabia,Gulf
43,neutral,Riyadh,Saudi Arabia,Gulf
44,neutral,Riyadh,Saudi Arabia,Gulf
45,neutral,Salt,Jordan,Levant
46,negative,Rabat,Morocco,Maghreb
47,neutral,Riyadh,Saudi Arabia,Gulf
48,negative,Riyadh,Saudi Arabia,Gulf
49,neutral,Riyadh,Saudi Arabia,Gulf
50,positive,Salt,Jordan,Levant
51,neutral,Riyadh,Saudi Arabia,Gulf
52,positive,Salt,Jordan,Levant
53,negative,Riyadh,Saudi Arabia,Gulf
54,neutral,Riyadh,Saudi Arabia,Gulf
55,neutral,Riyadh,Saudi Arabia,Gulf
56,negative,Riyadh,Saudi Arabia,Gulf
57,neutral,Jeddha,Saudi Arabia,Gulf
58,neutral,Riyadh,Saudi Arabia,Gulf
59,negative,Salt,Jordan,Levant
60,neutral,Riyadh,Saudi Arabia,Gulf
61,positive,Riyadh,Saudi Arabia,Gulf
62,neutral,Riyadh,Saudi Arabia,Gulf
63,neutral,Jeddha,Saudi Arabia,Levant
64,negative,Riyadh,Saudi Arabia,Gulf
65,neutral,Riyadh,Saudi Arabia,Gulf
66,negative,Riyadh,Saudi Arabia,Gulf
67,neutral,Riyadh,Saudi Arabia,Gulf
68,negative,Salt,Jordan,Levant
69,negative,Riyadh,Saudi Arabia,Gulf
70,negative,Riyadh,Saudi Arabia,Gulf
71,negative,Salt,Jordan,Levant
72,neutral,Riyadh,Saudi Arabia,Gulf
73,neutral,Riyadh,Saudi Arabia,Gulf
74,neutral,Riyadh,Saudi Arabia,Gulf
75,neutral,Salt,Jordan,Levant
76,positive,Riyadh,Saudi Arabia,Gulf
77,negative,Salt,Jordan,Levant
78,positive,Riyadh,Saudi Arabia,Gulf
79,neutral,Jeddha,Saudi Arabia,Gulf
80,positive,Salt,Jordan,Levant
81,positive,Salt,Jordan,Levant
82,neutral,Riyadh,Saudi Arabia,Gulf
83,negative,Riyadh,Saudi Arabia,Gulf
84,neutral,Riyadh,Saudi Arabia,Gulf
85,negative,Riyadh,Saudi Arabia,Gulf
86,neutral,Riyadh,Saudi Arabia,Gulf
87,negative,Riyadh,Saudi Arabia,Gulf
88,neutral,Riyadh,Saudi Arabia,Gulf
89,neutral,Riyadh,Saudi Arabia,Gulf
90,negative,Riyadh,Saudi Arabia,Gulf
91,neutral,Riyadh,Saudi Arabia,Gulf
92,negative,Riyadh,Saudi Arabia,Gulf
93,negative,Salt,Jordan,Levant
94,positive,Riyadh,Saudi Arabia,Gulf
95,positive,Riyadh,Saudi Arabia,Gulf
96,positive,Salt,Jordan,Levant
97,negative,Riyadh,Saudi Arabia,Gulf
98,negative,Salt,Jordan,Levant
99,negative,Salt,Jordan,Levant
100,negative,Riyadh,Saudi Arabia,Gulf
101,neutral,Riyadh,Saudi Arabia,Gulf
102,negative,Riyadh,Saudi Arabia,Gulf
103,neutral,Riyadh,Saudi Arabia,Gulf
104,neutral,Jeddha,Saudi Arabia,Levant
105,neutral,Riyadh,Saudi Arabia,Gulf
106,neutral,Riyadh,Saudi Arabia,Gulf
107,neutral,Riyadh,Saudi Arabia,Gulf
108,negative,Riyadh,Saudi Arabia,Gulf
109,negative,Salt,Jordan,Levant
110,negative,Riyadh,Saudi Arabia,Gulf
111,neutral,Riyadh,Saudi Arabia,Gulf
112,positive,Riyadh,Saudi Arabia,Gulf
113,neutral,Riyadh,Saudi Arabia,Gulf
114,neutral,Salt,Saudi Arabia,Gulf
115,neutral,Riyadh,Saudi Arabia,Gulf
116,neutral,Riyadh,Saudi Arabia,Gulf
117,neutral,Riyadh,Saudi Arabia,Gulf
118,negative,Jeddha,Saudi Arabia,Gulf
119,negative,Jeddha,Saudi Arabia,Levant
120,neutral,Riyadh,Saudi Arabia,Gulf
121,neutral,Riyadh,Saudi Arabia,Gulf
122,neutral,Riyadh,Saudi Arabia,Gulf
123,neutral,Amman,Syria,Levant
124,neutral,Riyadh,Saudi Arabia,Gulf
125,negative,Salt,Jordan,Levant
126,neutral,Riyadh,Saudi Arabia,Gulf
127,negative,Riyadh,Saudi Arabia,Gulf
128,positive,Riyadh,Saudi Arabia,Gulf
129,negative,Salt,Jordan,Levant
130,negative,Riyadh,Saudi Arabia,Gulf
131,neutral,Riyadh,Saudi Arabia,Gulf
132,negative,Riyadh,Saudi Arabia,Gulf
133,positive,Salt,Jordan,Levant
134,neutral,Jeddha,Saudi Arabia,Levant
135,positive,Salt,Jordan,Levant
136,neutral,Salt,Saudi Arabia,Gulf
137,negative,Riyadh,Saudi Arabia,Gulf
138,neutral,Riyadh,Saudi Arabia,Gulf
139,neutral,Rabat,Morocco,Maghreb
140,neutral,Riyadh,Saudi Arabia,Gulf
141,negative,Riyadh,Saudi Arabia,Gulf
