,sentiment,city,country,region
0,neutral,Riyadh,Saudi Arabia,Gulf
1,neutral,Salt,Jordan,Levant
2,neutral,Riyadh,Saudi Arabia,Gulf
3,neutral,Riyadh,Saudi Arabia,Gulf
4,neutral,Riyadh,Saudi Arabia,Gulf
5,negative,Riyadh,Saudi Arabia,Gulf
6,negative,Jeddha,Saudi Arabia,Gulf
7,negative,Riyadh,Saudi Arabia,Gulf
8,negative,Aleppo,Syria,Levant
9,negative,Jeddha,Saudi Arabia,Gulf
10,neutral,Riyadh,Saudi Arabia,Gulf
11,negative,Riyadh,Saudi Arabia,Gulf
12,neutral,Riyadh,Saudi Arabia,Gulf
13,negative,Riyadh,Saudi Arabia,Gulf
14,neutral,Salt,Saudi Arabia,Gulf
15,neutral,Riyadh,Saudi Arabia,Gulf
16,negative,Riyadh,Saudi Arabia,Gulf
17,neutral,Riyadh,Saudi Arabia,Gulf
18,negative,Jeddha,Saudi Arabia,Gulf
19,negative,Riyadh,Saudi Arabia,Gulf
20,negative,Riyadh,Saudi Arabia,Gulf
21,neutral,Salt,Jordan,Levant
22,neutral,Riyadh,Saudi Arabia,Gulf
23,neutral,Riyadh,Saudi Arabia,Gulf
24,neutral,Salt,Jordan,Levant
25,negative,Riyadh,Saudi Arabia,Gulf
26,neutral,Khartoum,Sudan,Nile Basin
27,negative,Riyadh,Saudi Arabia,Gulf
28,neutral,Riyadh,Saudi Arabia,Gulf
29,neutral,Salt,Jordan,Levant
30,negative,Riyadh,Saudi Arabia,Gulf
31,neutral,Salt,Jordan,Levant
32,neutral,Jeddha,Saudi Arabia,Gulf
33,negative,Riyadh,Saudi Arabia,Gulf
34,positive,Riyadh,Saudi Arabia,Gulf
35,negative,Riyadh,Saudi Arabia,Gulf
36,negative,Riyadh,Saudi Arabia,Gulf
37,negative,Riyadh,Saudi Arabia,Gulf
38,neutral,Riyadh,Saudi Arabia,Gulf
39,neutral,Riyadh,Saudi Arabia,Gulf
