,sentiment,city,country,region
0,negative,Salt,Jordan,Levant
1,neutral,Riyadh,Saudi Arabia,Gulf
2,neutral,Amman,Syria,Levant
3,neutral,Riyadh,Saudi Arabia,Gulf
4,negative,Salt,Jordan,Levant
5,negative,Riyadh,Saudi Arabia,Gulf
6,negative,Salt,Jordan,Levant
7,negative,Salt,Jordan,Levant
8,negative,Riyadh,Saudi Arabia,Gulf
9,neutral,Riyadh,Saudi Arabia,Gulf
10,neutral,Salt,Saudi Arabia,Gulf
11,neutral,Riyadh,Saudi Arabia,Gulf
12,neutral,Riyadh,Saudi Arabia,Gulf
13,neutral,Salt,Jordan,Levant
14,negative,Riyadh,Saudi Arabia,Gulf
15,negative,Riyadh,Saudi Arabia,Gulf
16,neutral,Jeddha,Saudi Arabia,Gulf
17,neutral,Salt,Jordan,Levant
18,neutral,Salt,Jordan,Levant
19,positive,Riyadh,Saudi Arabia,Gulf
20,negative,Jeddha,Saudi Arabia,Levant
21,neutral,Salt,Jordan,Levant
22,negative,Salt,Jordan,Levant
23,neutral,Jeddha,Saudi Arabia,Levant
24,negative,Salt,Jordan,Levant
25,neutral,Riyadh,Saudi Arabia,Gulf
26,neutral,Riyadh,Saudi Arabia,Gulf
27,neutral,Riyadh,Saudi Arabia,Gulf
28,positive,Salt,Jordan,Levant
29,neutral,Riyadh,Saudi Arabia,Gulf
30,neutral,Salt,Jordan,Levant
31,neutral,Riyadh,Saudi Arabia,Gulf
32,negative,Riyadh,Saudi Arabia,Gulf
33,neutral,Riyadh,Saudi Arabia,Gulf
34,negative,Riyadh,Saudi Arabia,Gulf
35,neutral,Riyadh,Saudi Arabia,Gulf
36,neutral,Jeddha,Saudi Arabia,Gulf
37,neutral,Riyadh,Saudi Arabia,Gulf
38,negative,Jeddha,Saudi Arabia,Gulf
39,negative,Salt,Saudi Arabia,Gulf
40,neutral,Salt,Jordan,Levant
41,neutral,Jeddha,Saudi Arabia,Gulf
42,negative,Salt,Jordan,Levant
43,negative,Riyadh,Saudi Arabia,Gulf
44,negative,Salt,Jordan,Levant
45,negative,Riyadh,Saudi Arabia,Gulf
46,neutral,Riyadh,Saudi Arabia,Gulf
47,negative,Riyadh,Saudi Arabia,Gulf
48,neutral,Khartoum,Sudan,Nile Basin
49,neutral,Khartoum,Sudan,Nile Basin
50,neutral,Khartoum,Sudan,Nile Basin
51,neutral,Khartoum,Sudan,Nile Basin
52,neutral,Khartoum,Sudan,Nile Basin
53,negative,Jeddha,Saudi Arabia,Gulf
54,neutral,Riyadh,Saudi Arabia,Gulf
55,neutral,Riyadh,Saudi Arabia,Gulf
56,neutral,Salt,Jordan,Levant
57,neutral,Riyadh,Saudi Arabia,Gulf
58,negative,Jeddha,Saudi Arabia,Gulf
59,negative,Aleppo,Syria,Levant
60,neutral,Khartoum,Sudan,Nile Basin
61,negative,Salt,Jordan,Levant
62,neutral,Khartoum,Sudan,Nile Basin
63,neutral,Riyadh,Saudi Arabia,Gulf
64,neutral,Khartoum,Sudan,Nile Basin
65,neutral,Khartoum,Sudan,Nile Basin
66,neutral,Riyadh,Saudi Arabia,Gulf
67,negative,Aleppo,Syria,Levant
68,negative,Riyadh,Saudi Arabia,Gulf
69,neutral,Khartoum,Sudan,Nile Basin
70,neutral,Riyadh,Saudi Arabia,Gulf
71,neutral,Riyadh,Saudi Arabia,Gulf
72,negative,Riyadh,Saudi Arabia,Gulf
73,negative,Riyadh,Saudi Arabia,Gulf
74,negative,Riyadh,Saudi Arabia,Gulf
75,negative,Riyadh,Saudi Arabia,Gulf
76,positive,Jeddha,Saudi Arabia,Gulf
77,neutral,Khartoum,Sudan,Nile Basin
78,neutral,Jeddha,Saudi Arabia,Gulf
79,positive,Jeddha,Saudi Arabia,Gulf
80,negative,Riyadh,Saudi Arabia,Gulf
81,negative,Riyadh,Saudi Arabia,Gulf
82,negative,Riyadh,Saudi Arabia,Gulf
83,neutral,Khartoum,Sudan,Nile Basin
84,negative,Riyadh,Saudi Arabia,Gulf
85,negative,Riyadh,Saudi Arabia,Gulf
86,negative,Riyadh,Saudi Arabia,Gulf
87,negative,Riyadh,Saudi Arabia,Gulf
88,neutral,Khartoum,Sudan,Nile Basin
89,negative,Riyadh,Saudi Arabia,Gulf
90,negative,Salt,Jordan,Levant
91,neutral,Riyadh,Saudi Arabia,Gulf
92,negative,Riyadh,Saudi Arabia,Gulf
93,neutral,Riyadh,Saudi Arabia,Gulf
94,neutral,Khartoum,Sudan,Nile Basin
95,negative,Riyadh,Saudi Arabia,Gulf
96,neutral,Jeddha,Saudi Arabia,Gulf
97,neutral,Khartoum,Sudan,Nile Basin
98,neutral,Jeddha,Saudi Arabia,Gulf
99,negative,Riyadh,Saudi Arabia,Gulf
100,neutral,Riyadh,Saudi Arabia,Gulf
101,neutral,Riyadh,Saudi Arabia,Gulf
102,neutral,Khartoum,Sudan,Nile Basin
103,negative,Riyadh,Saudi Arabia,Gulf
104,negative,Riyadh,Saudi Arabia,Gulf
105,neutral,Khartoum,Sudan,Nile Basin
106,negative,Riyadh,Saudi Arabia,Gulf
107,neutral,Jeddha,Saudi Arabia,Gulf
108,negative,Riyadh,Saudi Arabia,Gulf
109,negative,Riyadh,Saudi Arabia,Gulf
110,negative,Riyadh,Saudi Arabia,Gulf
111,negative,Riyadh,Saudi Arabia,Gulf
112,negative,Riyadh,Saudi Arabia,Gulf
113,neutral,Salt,Jordan,Levant
114,neutral,Salt,Jordan,Levant
115,neutral,Salt,Jordan,Levant
116,neutral,Salt,Jordan,Levant
117,negative,Riyadh,Saudi Arabia,Gulf
118,neutral,Salt,Jordan,Levant
119,negative,Riyadh,Saudi Arabia,Gulf
120,neutral,Riyadh,Saudi Arabia,Gulf
121,neutral,Salt,Jordan,Levant
122,neutral,Salt,Jordan,Levant
123,negative,Salt,Jordan,Levant
124,negative,Riyadh,Saudi Arabia,Gulf
125,negative,Riyadh,Saudi Arabia,Gulf
126,neutral,Jeddha,Saudi Arabia,Gulf
127,negative,Jeddha,Saudi Arabia,Gulf
128,neutral,Jeddha,Saudi Arabia,Gulf
129,neutral,Riyadh,Saudi Arabia,Gulf
130,negative,Jeddha,Saudi Arabia,Gulf
131,negative,Jeddha,Saudi Arabia,Gulf
132,neutral,Riyadh,Saudi Arabia,Gulf
133,negative,Jeddha,Saudi Arabia,Gulf
134,neutral,Riyadh,Saudi Arabia,Gulf
135,neutral,Riyadh,Saudi Arabia,Gulf
136,negative,Riyadh,Saudi Arabia,Gulf
137,neutral,Salt,Saudi Arabia,Gulf
138,negative,Jeddha,Saudi Arabia,Gulf
139,negative,Riyadh,Saudi Arabia,Gulf
140,negative,Riyadh,Saudi Arabia,Gulf
141,neutral,Riyadh,Saudi Arabia,Gulf
