negative,Riyadh,Saudi Arabia,Gulf,14 لحين طلع مكتشف التقنيه يعني ماله شي مؤامره وخرابيط مشكك لقاح ماشي مشكله اذا تبي لقاح الصي التقنيه القديمه موجود مالك عذر مافيه شي تقنيه جديده اعتمد ناقل فيروسي ولقاح ثانيه موجوده مالازم تستخدمي التقنية الجديده 
neutral,Rabat,Morocco,Maghreb,دراسة واسعة النطاق تكشف مفاجأة بشأن لقاح فايزر ضد 3670 1297 
neutral,Riyadh,Saudi Arabia,Gulf,254990 ليش طيب قال عادي تاخذ لقاح نوع مختلف 
neutral,Riyadh,Saudi Arabia,Gulf,3355555 50 الله يجزاك خير انت المسألة خطأ يوجد تطعيم العالم يوفر حماية بنسبة 100 المئة وأن يقلل الاصابة ويحميك الاثار الجانبية الصعبة اللقاح يكون معدل إصابتك بالفيروس بكثير المئة ومم اللي أصيب الان اللي طعم 
negative,Riyadh,Saudi Arabia,Gulf,66 110 صحيح تطعيم تجمع الانتخاب الناس التزام يعني السببية شرايك 
neutral,Riyadh,Saudi Arabia,Gulf,الي بدها لقاح ضد المحنه تجي سناب اححححح معصيتييرحتي معصيتييرحتي معصيتيراحتي ليزب الحب طفش معصيتييرحتي معصيتيرحتي يحدثالآن فويس معصيتيرحتي معصيتيراحتي برنامجسهم67 شوقردادي 2019 القصيم معصيتيراحتي 
negative,Salt,Jordan,Levant,بخصوص اغلاق يعني لقاح اي معنى 
negative,Riyadh,Saudi Arabia,Gulf,٣٠ سنه عايش كوكب الارض ومو عارف يفرق البقدونس الكزبره الأخ خبره لقاح فايزر اكسفورد 
neutral,Riyadh,Saudi Arabia,Gulf,كاميرا ترصد نساء يضربن بعنف نادلة مطعم طلبت إثباتا بتلقي لقاح 88 
negative,Riyadh,Saudi Arabia,Gulf,المحامية دلالالملا التناقض تحرص الحكومة تطعيم مخالفي قان الاقامة وتمتنع تطعيم البد 75 
neutral,Salt,Jordan,Levant,وزن يدي حال لقاح امس 254 
negative,Jeddha,Saudi Arabia,Levant,ألان الان الان الانتسجيل لقاح كور اول جرعهثا جرعه ثالث جرعهالغاء مخالف مرورتجديد اقامة كرت عمل بلاغ هروب الغاء هروبقروض العاطل واالموضف تصفير زكاةللتواصل خاص واتساب التغريدة الأول 
negative,Salt,Jordan,Levant,لقاح 
positive,Riyadh,Saudi Arabia,Gulf,انت البركة بيك اختر لقاح شئ 
negative,Riyadh,Saudi Arabia,Gulf,تعالي خاص حياتي لوجاده القحك لقاح اسمرا روعه 
neutral,Riyadh,Saudi Arabia,Gulf,الوفدسوهاج صحة سوهاج تجاوز تطعيم نصف ملي مواطن ضد فيروس المستجد 904 
neutral,Riyadh,Saudi Arabia,Gulf,الغذاء والدواء السعودية توافق تسجيل لقاحمودير 019 
neutral,Jeddha,Saudi Arabia,Gulf,مصدر ملاحى يكشف تفاصيل وصول شحنة لقاح جونس أند جونسون397 747 
neutral,Jeddha,Saudi Arabia,Levant,أفيدونى فتح السفر المملكة العربية السعودية تطعيم بالمملكة وتطعيم بالقاهرة تم فتح السفر مباشر 
negative,Salt,Jordan,Levant,وضوح لقاح مامنه فائدة والمصيبة الأكبر عم يقول ممكن يخل اللقاح سنة السلال الجديدة اللي عم تطلع بالأصح عم يطلعو طبعا اللقاح مو إجباري قول مافيك تعمل شي يعني عم يضحك عالناس 
negative,Riyadh,Saudi Arabia,Gulf,المفروض يتم حضر السفر وايضا حضر وصول القادمي او فحص تطعيم وحجر صحي فنادق لمدة 14 يوم المعاملة بالمثل خصوصا فترة طغوا طلاب الجامع المبتعث بحجز اسبوع فنادق باسعار فاقت 2000 ريال عما التذاكر والفحص والتام وقيود تعجيزية مصير الان 
negative,Riyadh,Saudi Arabia,Gulf,687 لاتصرف كيسك تتفشل يامعره تطعيم كامل ماوصل ربع سكان العالم الاغلب رافض ادعي تشفى بس685 
negative,Riyadh,Saudi Arabia,Gulf,اديك لقاح 
positive,Riyadh,Saudi Arabia,Gulf,تطوعت بمركز لقاح واحس الوطنية 
neutral,Salt,Jordan,Levant,برنامجسهم54 حجوز عمرة يوم يناسب الصلاة بالمسجد الحرام الصلواتالصلاة الروضة الشريفه الاوق الأسعار المناسبة مكه مكهال حجزعمره لقاح محصن اعتمر عمرة صلاه المسجدالحرام مكةالمكرمة 
negative,Riyadh,Saudi Arabia,Gulf,45 روح صحتي بعد الخدم لقاح اضغط وصور الشاشه 142 
negative,Riyadh,Saudi Arabia,Gulf,252871 يريد يسافر لازم عده كارت لقاح ويك ملقح للأسف يصير بيج كلامج ومتگدر تسافر 
negative,Riyadh,Saudi Arabia,Gulf,المقول تنتشر المتردد لقاح كوفيد ١٩ أريد الإصابة بكوفيد١٩ اللقاحمن المستحيل علم الإصابة بكوفيد ١٩ اللقاح المستخدمة المملكة يحتوي قطعة فيروس الحقيقي 
negative,Riyadh,Saudi Arabia,Gulf,تطعيم شلل الأطفال ماكو ماطعم 
negative,Riyadh,Saudi Arabia,Gulf,كتبغي تصدع راسك تجاووب واحد فئة راس عامر بلمؤامر باغي يقتلو يتجسسو اشنو كيحط فلمرحاض فاش كيمرض كيشري دوا مكيقولش راه شي حاجة وغلبية ادوية مستووردة مكيسوولوش فين تصنع باش مصاووبة مهم يتشفى تجيه لقاح يقوليك دولة بغات تحكم بلقاح 
neutral,Riyadh,Saudi Arabia,Gulf,1423 المستشفى السعودي الألما لقاح فايزر مجا ولآ أعلم مخصص حاليآ للأعمار 12 18 سنة أكبر 18 سنة معآ تأكدي بالإتصال 
neutral,Riyadh,Saudi Arabia,Gulf,2035 123 75 باخذ موعد تطعيم الح بسبت 
neutral,Riyadh,Saudi Arabia,Gulf,937 ممكن احد يرد وين احصل لقاح اكسفورد فالرياض 
neutral,Riyadh,Saudi Arabia,Gulf,الغذاء والدواء توافق تسجيل لقاح موديرنا78 
negative,Riyadh,Saudi Arabia,Gulf,6978 39 24 يخرب بيوت الناس علش لقاحالله المستع 
