authors,date,Climate/Weather ,Normal Temperature,Max Temperature,Average Temperature,Min Temperature,Relative Humidity,Absolute  Humidity,Atmospheric Pressure,Evaporation,Dew Point,Wind Speed,Rainfall,UV light,Socioeconomic ,Racial inequality,Gender inequality,Age,Built Environment,GDP/capita,Population,Other SE factors,Human activity,Human moility,Air pollution,Built environment,Health ,Comorbidity,Healthcare capacity,Non-pharmaceutical intervention NPI
Abdullah et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abou-Ismail,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmad et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,PRT,,,,
Ahmadi  et al.,2020,,,,I,,,,,,,NRT,I,NRT,,,,,,,PRC,,,,,,,,,
Aidoo et al.,2021,,,NRT,PRT,,NRC,,PRT,,,PRT,,,,,,,,,,,,,,,,,,
Allen & Ibrahim,2021,,,,,,,,,,,,,,,,,,,,,,,,,NRT ,,,,
Anil and Alagha,2020,,,,,,,,,,,,,,,,,,,,,,,,PRM,,,,,
Askitas et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NST
Auler et al.,2020,,,,,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Babuna  et al.,2021,,,,NRT,,NRT,,,,,,,,,,,,,,,,,,,,,,,
Baker et al.,2020,,,,PRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Baniasad et al.,2021,,,,,,,,,,,,,,,,,,,,,,,PR,RM,,,,,NRC
Bashir et al.,2020,,,,UST,R,,,,,,,NRT,,,,,,,,,,,,PRC,,,,,
Bassett et al.,2020,,,,,,,,,,,,,,,PRM,,,,,,,,,,,,,,
Bherwani et al.,2020,,,,,,NS ,,,,,,,,,,,,,,,,,,,,,,,
Bowe et al.,2021,,,,,,,,,,,,,,,PRC,,,,,,,,,PRC,PRC,,,,
Brauner et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NST
Briz-Redón & Serrano-Aroca,2020,,,,IC,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bu et al.,2020,,,,PRT,,PRT,,,,,,,,,,,,,,,,,,,,,,,
Bukhhari et al.,2020,,,,PRT,,,,,,,,,,,,,,,,,,,,,,,,,
Cao et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton et al.,2021,,,,I,,I,,,,,,,,,,,,,,,,,,NSRT,,,,,
