name
"Abdullah et al."
"Abou-Ismail"
"Ahmad et al."
"Ahmadi et al."
"Aidoo et al."
"Allen & Ibrahim"
"Anil and Alagha"
"Askitas et al."
"Auler et al."
"Babuna et al."
"Baker et al."
"Baniasad et al."
"Bashir et al."
"Bassett et al."
"Bherwani et al."
"Bowe et al."
"Brauner et al."
"Briz-Redón & Serrano-Aroca"
"Bryan et al."
"Bu et al."
"Bukhhari et al."
"Cao et al."
"Carleton et al."
"Chakraborti et al."
"Chakraborty & Maity"
"Chaudhry et al."
"Chen et aL."
"Chen et al."
"Chinazzi et al."
"Christophi et al."
"Clark et al. "
"Coker et al."
"Cole et al. "
"Correa-Araneda et al."
"Cox-Ganser & Henneberger"
"Coşkun et al."
"Dantas et al."
"Das et al."
"Dbouk and Drikakis"
"Duhon et al."
"Eltoukhy et al. "
"Emeruwa et al."
"Endeshaw et al. "
"Esteve et al. "
"Fan et al."
"Faruk et al."
"Fattorini & Rigoli"
"Feng et al."
"Ficetola & Rubolini"
"Flaxman et al."
"Frontera"
"Ge et al."
"Goswami et al."
"Grandjean et al. "
"Guan et al."
"Guo et al."
"Gupta et al."
"Hadjidemetriou et al."
"Harvey et al."
"Hong et al."
"Hossain et al."
"Hridoy et al."
"Hsiang et al."
"Iqbal et al. "
"Islam et al."
"Islam et al."
"Jahangiri et al."
"Jamil et al."
"Jamshhidi et al."
"Jay et aL"
"Kwok et al"
"Lasisi & Eluwole"
"Leibowitz et al."
"Lenward et al."
"Lerner et al."
"Li et al."
"Liang et al. "
"Lianga et al."
"Lin et al."
"Lipsitt et al. "
"Liu et al."
"Loché Fernández-Ahúja & Fernández Martínez"
"Lorenzo et al."
"Lou et al."
"Lulbadda et al."
"Luo et al."
"Ma et al."
"Mecenas et al."
"Mele & Magazzino"
"Menebo"
"Merow & Urban"
"Meyer et al."
"Mollalo & Tatar"
"Moozhipurath et al."
"Muhammad et al."
"Muniyappa & Gubbi"
"Méndez-Arriaga"
"Nottmeyer & Sera"
"Ogen"
"Okeahalam et al."
"Oliveiros et al."
"Pahuja et al."
"Pan et al."
"Paraskevis et al."
"Peckham et al."
"Pedrosa "
"Peters et al."
"Pirouz et al."
"Poirier et al."
"Pozzer et al."
"Prata et al."
"Qi et al."
"Qian et al."
"Rader et al."
"Rahman et al."
"Rendana"
"Rocklöv and Sjödin "
"Ruin et al."
"Runkle et al."
"Russell et al."
"Saadat et al."
"Sajadi et al."
"Saloner et al."
"Sangkham et al."
"Sarkodie & Owusu"
"Sarmadi et al."
"Sattar et al."
"Sera et al."
"Setti et al."
"Shakil et al."
"Shao et al."
"Sharma et al."
"Shi et al."
"Singh et al."
"Smith et al."
"Sobral et al."
"Stufano et al."
"Su et al."
"Tobias et al."
"Torrats-Espinosa"
"Tosepu et al."
"Travaglio et al."
"Tzampoglou & Loukidis"
"Verma et al."
"Walker et al."
"Wang & Su"
"Wang et al."
"Weaver et al."
"Wei et al."
"Wells et al."
"Wu et al."
"Xie & Zhu"
"Yongjan et al."
"Yuan et al."
"Zalla et al."
"Zambrano-Monserrate et al."
"Zelner et al."
"Zeng Yang et al."
"Zeng Zhang et al."
"Zhao et al."
"Zhou et al. "
"Zhu et al."
"Zoran et al."
"authors"
"Şahin"
